Rack,Unique.ID ,germ.y.n ,height.cm ,hypocotyl. length.cm ,long.leaf. cm ,cryo.box ,cryo.pos ,DNA.y.n ,Notes ,
2,3000,N ,,,,1,A1 ,,,
2,3001,N ,,,,1,A2 ,,,
2,3002,Y ,0.9,0.7,0.7,1,A3 ,Y ,,
2,3003,N ,,,,1,A4 ,,,
2,3004,Y ,0.9,0.4,0.8,1,A5 ,Y ,,
2,3005,N ,,,,1,A6 ,,,
2,3006,N ,,,,1,A7 ,,,
2,3007,N ,,,,1,A8 ,,,
2,3008,N ,,,,1,A9 ,,,
2,3009,N ,,,,1,A10 ,,,
2,3010,N ,,,,1,B1 ,,,
2,3011,N ,,,,1,B2 ,,,
2,3012,Y ,1.2,1.1,1.8,1,B3 ,Y ,,
2,3013,N ,,,,1,B4 ,,,
2,3014,N ,,,,1,B5 ,,,
2,3015,N ,,,,1,B6 ,,,
2,3016,N ,,,,1,B7 ,,,
2,3017,N ,,,,1,B8 ,,,
2,3018,N ,,,,1,B9 ,,,
2,3019,N ,,,,1,B10 ,,,
2,3020,N ,,,,1,C1 ,,,
2,3021,N ,,,,1,C2 ,,,
2,3022,Y ,1.3,1,0.4,1,C3 ,Y ,,
2,3023,Y ,1.7,0.1,0.6,1,C4 ,Y ,,
2,3024,Y ,0.8,0.3,1.1,1,C5 ,Y ,,
2,3025,N ,,,,1,C6 ,,,
2,3026,N ,,,,1,C7 ,,,
2,3027,N ,,,,1,C8 ,,,
2,3028,N ,,,,1,C9 ,,,
2,3029,Y ,0.7,0.3,0.6,1,C10 ,Y ,,
2,3030,N ,,,,1,D1 ,,,
2,3031,Y ,1,0.4,0.9,1,D2 ,Y ,,
2,3032,N ,,,,1,D3 ,,,
2,3033,Y ,0.6,0.1,0.9,1,D4 ,Y ,,
2,3034,Y ,0.6,0.2,0.9,1,D5 ,Y ,,
2,3035,Y ,1.5,0.9,0.7,1,D6 ,Y ,,
2,3036,Y ,0.4,0.1,0.4,1,D7 ,N,too small ,
2,3037,N ,,,,1,D8 ,,,
2,3038,Y ,NA ,NA ,NA ,1,D9 ,NA ,no plant,
2,3039,Y ,0.9,0.1,1.5,1,D10 ,Y ,,
2,3040,Y ,0.9,0.2,1.4,1,E1 ,Y ,,
2,3041,N ,,,,1,E2 ,,,
2,3042,N ,,,,1,E3 ,,,
2,3043,N ,,,,1,E4 ,,,
2,3044,N ,,,,1,E5 ,,,
2,3045,Y ,1.3,0.7,1.1,1,E6 ,Y ,,
2,3046,Y ,2.4,1.2,1.2,1,E7 ,Y ,,
2,3047,N ,,,,1,E8 ,,,
2,3048,N ,,,,1,E9 ,,,
2,3049,N ,,,,1,E10 ,,,
2,3050,Y ,2.2,1.2,1.3,1,F1 ,Y ,,
2,3051,N ,,,,1,F2 ,,,
2,3052,N ,,,,1,F3 ,,,
2,3053,N ,,,,1,F4 ,,,
2,3054,N ,,,,1,F5 ,,,
2,3055,N ,,,,1,F6 ,,,
2,3056,N ,,,,1,F7 ,,,
2,3057,N ,,,,1,F8 ,,,
2,3058,N ,,,,1,F9 ,,,
2,3059,N ,,,,1,F10 ,,,
2,3060,N ,,,,1,G1 ,,,
2,3061,Y ,1.7,1.3,1,1,G2 ,Y ,,
2,3062,N ,,,,1,G3 ,,,
2,3063,N ,,,,1,G4 ,,,
2,3064,N ,,,,1,G5 ,,,
2,3065,N ,,,,1,G6 ,,,
2,3066,N ,,,,1,G7 ,,,
2,3067,N ,,,,1,G8 ,,,
2,3068,N ,,,,1,G9 ,,,
2,3069,Y ,1.4,0.9,0.8,1,G10 ,Y ,,
2,3070,N ,,,,1,H1 ,,,
2,3071,N ,,,,1,H2 ,,,
2,3072,N ,,,,1,H3 ,,,
2,3073,N ,,,,1,H4 ,,,
2,3074,N ,,,,1,H5 ,,,
2,3075,N ,,,,1,H6 ,,,
2,3076,N ,,,,1,H7 ,,,
2,3077,N ,,,,1,H8,,,
2,3078,N ,,,,1,H9 ,,,
2,3079,Y ,2.3,1.4,0.8,1,H10 ,Y ,,
2,3080,N ,,,,1,I1,,,
2,3081,N ,,,,1,I2,,,
2,3082,N ,,,,1,I3,,,
2,3083,N ,,,,1,I4,,,
2,3084,N ,,,,1,I5,,,
2,3085,N ,,,,1,I6,,,
2,3086,N ,,,,1,I7,,,
2,3087,N ,,,,1,I8,,,
2,3088,N ,,,,1,I9,,,
2,3089,N ,,,,1,I10 ,,,
2,3090,N ,,,,1,J1 ,,,
2,3091,N ,,,,1,J2 ,,,
2,3092,Y ,1.7,1.5,0.5,1,J3 ,Y ,,
2,3093,N ,,,,1,J4 ,,,
2,3094,N ,,,,1,J5 ,,,
2,3095,Y ,1.3,0.6,1.5,1,J6 ,Y ,,
2,3096,Y ,1,0.4,1.1,1,J7 ,Y ,,
2,3097,N ,,,,1,J8 ,,,
4,3098,N ,,,,1,J9 ,,,
4,3099,N ,,,,1,J10 ,,,
4,3100,Y ,1.3,0.6,0.9,2,A1 ,Y ,,
4,3101,N ,NA ,NA ,NA ,2,A2 ,,,
4,3102,Y ,1.2,0.7,1,2,A3 ,Y ,,
4,3103,Y ,1.3,1,0.8,2,A4 ,Y ,,
4,3104,N ,,,,2,A5 ,N ,,
4,3105,N ,,,,2,A6 ,N ,,
4,3106,N ,,,,2,A7 ,N ,,
4,3107,Y ,2.3,1.3,2.5,2,A8 ,Y ,,
4,3108,Y ,1.1,0.9,1.4,2,A9 ,Y ,,
4,3109,Y ,0.8,0.5,0.9,2,A10 ,Y ,,
